index,depth_value,angle,direction
0,-33.849079,-27,0
1,172.628098,-27,0
2,176.366837,-27,0
3,178.297607,-27,0
4,180.271133,-27,0
5,184.352188,-27,0
6,185.401489,-27,0
7,189.720917,-24,0
8,189.720917,-24,0
9,188.622299,-24,0
10,188.622299,-24,0
11,188.622299,-24,0
12,187.536331,-24,0
13,188.622299,-24,0
14,188.622299,-24,0
15,187.536331,-24,0
16,187.536331,-24,0
17,187.536331,-23,0
18,188.622299,-23,0
19,188.622299,-23,0
20,189.720917,-23,0
21,189.720917,-22,0
22,72.434898,-22,0
23,72.114174,-21,0
24,72.114174,-21,0
25,71.954872,-21,0
26,71.954872,-21,0
27,72.114174,-20,0
28,72.114174,-20,0
29,72.274178,-20,0
30,71.796272,-20,0
31,70.552216,-20,0
32,70.399727,-20,0
33,70.247902,-19,0
34,70.096733,-19,0
35,69.796333,-19,0
36,69.796333,-18,0
37,69.946213,-18,0
38,69.796333,-18,0
39,69.796333,-18,0
40,69.796333,-18,0
41,69.203194,-17,0
42,69.203194,-17,0
43,69.203194,-17,0
44,68.910385,-17,0
45,69.056480,-17,0
46,69.203194,-16,0
47,69.056480,-15,0
48,69.056480,-15,0
49,69.056480,-15,0
50,69.056480,-15,0
51,69.203194,-15,0
52,69.056480,-15,0
53,69.350533,-15,0
54,69.647095,-14,0
55,69.350533,-14,0
56,69.498497,-14,0
57,69.796333,-14,0
58,69.647095,-13,0
59,69.350533,-13,0
60,69.350533,-13,0
61,69.350533,-13,0
62,69.498497,-12,0
63,69.946213,-12,0
64,69.647095,-11,0
65,69.796333,-11,0
66,69.498497,-11,0
67,69.796333,-9,0
68,70.247902,-9,0
69,70.705360,-9,0
70,71.013649,-9,0
71,70.859169,-9,0
72,70.859169,-9,0
73,68.910385,-7,0
74,68.910385,-7,0
75,68.620049,-7,0
76,68.475800,-7,0
77,68.475800,-7,0
78,68.475800,-7,0
79,68.475800,-6,0
80,68.475800,-6,0
81,68.620049,-6,0
82,69.056480,-6,0
83,69.056480,-5,0
84,68.046654,-5,0
85,67.763535,-5,0
86,67.763535,-4,0
87,67.763535,-4,0
88,67.622856,-4,0
89,67.622856,-4,0
90,67.482758,-4,0
91,67.482758,-2,0
92,67.343239,-2,0
93,67.343239,-2,0
94,67.482758,-2,0
95,67.343239,-1,0
96,67.343239,-1,0
97,67.343239,-1,0
98,67.204300,0,0
99,67.343239,1,0
100,67.343239,1,0
101,67.482758,2,0
102,67.622856,2,0
103,67.763535,2,0
104,67.904800,2,0
105,68.332146,3,0
106,68.620049,4,0
107,69.203194,4,0
108,69.647095,4,0
109,70.096733,4,0
110,70.247902,4,0
111,-33.849079,5,0
112,-33.849079,6,0
113,-33.849079,6,0
114,-33.849079,6,0
115,-33.849079,6,0
116,-33.849079,7,0
117,-33.849079,7,0
118,-33.849079,7,0
119,-33.849079,8,0
120,-33.849079,9,0
121,-33.849079,9,0
122,-33.849079,9,0
123,-33.849079,10,0
124,-33.849079,10,0
125,219.067642,10,0
126,220.550934,10,0
127,220.550934,11,0
128,222.054443,11,0
129,220.550934,12,0
130,222.054443,12,0
131,223.578598,13,0
132,223.578598,13,0
133,225.123825,14,0
134,225.123825,14,0
135,223.578598,14,0
136,-33.849079,16,0
137,-33.849079,16,0
138,-33.849079,16,0
139,-33.849079,16,0
140,191.957001,17,0
141,189.720917,17,0
142,187.536331,17,0
143,196.591110,18,0
144,198.993088,19,0
145,197.784805,20,0
146,198.993088,20,0
147,200.216232,21,0
148,200.216232,21,0
149,201.454498,21,0
150,202.708176,22,0
151,205.262939,23,0
152,-33.849079,24,0
153,233.181763,24,0
154,233.181763,24,0
155,228.279236,26,0
156,222.054443,28,0
157,216.160126,28,0
158,210.570648,29,0
159,206.564621,29,0
160,207.882919,30,0
161,225.123825,29,1
